epoch;acc;loss;val_acc;val_loss
0;0.75517578125;0.5052603053301573;0.68341796875;0.8818931466341019
1;0.7959765625;0.43789671748876574;0.6220703125;0.9129370927810669
2;0.812861328125;0.4066713198274374;0.64451171875;0.9238507598638535
3;0.827783203125;0.3795695709437132;0.69859375;1.1017584294080733
4;0.835078125;0.3661404713243246;0.69158203125;1.2238607850670815
5;0.845400390625;0.3463562700897455;0.69361328125;1.412164370417595
6;0.85240234375;0.3344336179643869;0.683984375;1.3134545144438743
7;0.85697265625;0.3248133481666446;0.71376953125;1.3382103139162063
8;0.86171875;0.312686801739037;0.6996484375;1.5501915308833123
9;0.865595703125;0.3083616458624601;0.69939453125;1.4642673021554946
10;0.869501953125;0.2987569515407085;0.68984375;1.6755400907993316
11;0.875517578125;0.2880254156887531;0.70650390625;1.4464436656236648
12;0.875908203125;0.2837870170176029;0.64857421875;1.5565225827693938
13;0.880185546875;0.27822891853749754;0.60865234375;1.4698715335130692
14;0.882607421875;0.27166825737804173;0.6078515625;1.4931906914711
15;0.884443359375;0.2681899530440569;0.5059765625;1.6820406395196914
16;0.889375;0.2594763820618391;0.59892578125;1.498682178258896
17;0.88927734375;0.2586953008547425;0.6035546875;1.7279475313425063
